Home,Away,Home_Goals,Away_Goals
Oita,Kashima,2,3
Vegalta Sendai,FC Tokyo,2,1
Yokohama M.,Kawasaki Frontale,2,1
Shimizu,Iwata,1,0
C-Osaka,Omiya Ardija,1,2
Hiroshima,Sagan Tosu,2,0
Urawa,Shonan,2,0
Kawasaki Frontale,Vegalta Sendai,4,2
Shimizu,C-Osaka,1,1
FC Tokyo,Nagoya,3,1
Sagan Tosu,Kashiwa,0,3
Iwata,Hiroshima,0,2
Omiya Ardija,Urawa,1,0
Shonan,Oita,2,1
Albirex Niigata,Yokohama M.,1,0
Kashima,Kofu,0,0
Kashiwa,Omiya Ardija,0,4
Albirex Niigata,Kashima,2,3
C-Osaka,Oita,0,0
Nagoya,Hiroshima,1,1
Iwata,Shonan,4,0
Yokohama M.,Kofu,1,1
Urawa,Shimizu,0,1
FC Tokyo,Kawasaki Frontale,2,0
Vegalta Sendai,Sagan Tosu,1,1
Oita,Omiya Ardija,0,2
Kofu,Iwata,2,1
Shimizu,Albirex Niigata,1,2
Yokohama M.,Kashima,1,1
Shonan,C-Osaka,0,3
Sagan Tosu,FC Tokyo,2,3
Kawasaki Frontale,Nagoya,2,1
Albirex Niigata,Kofu,1,1
Shimizu,Kawasaki Frontale,1,2
FC Tokyo,Iwata,2,2
Omiya Ardija,Hiroshima,2,1
C-Osaka,Urawa,2,2
Kashima,Shonan,1,0
Oita,Sagan Tosu,2,4
Kashiwa,Yokohama M.,2,1
Nagoya,Vegalta Sendai,0,2
Hiroshima,Oita,1,0
Iwata,Kashiwa,0,1
Sagan Tosu,Albirex Niigata,1,3
Vegalta Sendai,Omiya Ardija,2,1
Kawasaki Frontale,C-Osaka,2,2
Nagoya,Yokohama M.,1,2
Kofu,Shimizu,0,2
Shonan,FC Tokyo,3,2
Urawa,Kashima,3,1
Albirex Niigata,Oita,2,3
Hiroshima,Kofu,5,1
Iwata,Kawasaki Frontale,2,4
Kashima,Nagoya,3,1
Kashiwa,C-Osaka,1,3
Yokohama M.,Vegalta Sendai,0,0
Omiya Ardija,Shonan,2,1
FC Tokyo,Shimizu,2,0
Urawa,Sagan Tosu,6,2
Kofu,Omiya Ardija,0,3
Shimizu,Vegalta Sendai,2,0
Shonan,Hiroshima,0,2
Kawasaki Frontale,Albirex Niigata,2,1
Sagan Tosu,Yokohama M.,0,1
Oita,Iwata,1,1
Kashima,FC Tokyo,3,2
C-Osaka,Nagoya,2,1
Kashiwa,Urawa,2,6
Hiroshima,Kashiwa,0,0
Urawa,Vegalta Sendai,1,1
Kofu,Urawa,0,1
FC Tokyo,Hiroshima,0,1
Albirex Niigata,Kashiwa,3,2
Iwata,C-Osaka,2,2
Kawasaki Frontale,Kashima,4,2
Nagoya,Shimizu,2,1
Omiya Ardija,Sagan Tosu,1,1
Vegalta Sendai,Shonan,0,0
Yokohama M.,Oita,1,1
C-Osaka,Yokohama M.,2,1
Hiroshima,Kawasaki Frontale,4,2
Iwata,Albirex Niigata,2,1
Kashima,Shimizu,3,1
Oita,Vegalta Sendai,0,1
Omiya Ardija,Nagoya,2,1
Sagan Tosu,Kofu,2,1
Shonan,Kashiwa,1,2
Urawa,FC Tokyo,2,2
Shimizu,Oita,3,1
Kofu,Shonan,0,1
Albirex Niigata,FC Tokyo,0,3
Hiroshima,C-Osaka,1,0
Kashiwa,Kashima,2,1
Kawasaki Frontale,Urawa,4,0
Nagoya,Sagan Tosu,3,2
Vegalta Sendai,Iwata,1,1
Yokohama M.,Omiya Ardija,2,1
C-Osaka,Sagan Tosu,4,1
Kashima,Iwata,1,1
Kashiwa,Shimizu,2,2
Oita,Nagoya,1,2
Omiya Ardija,Kawasaki Frontale,2,3
Shonan,Albirex Niigata,0,2
Urawa,Yokohama M.,2,3
Vegalta Sendai,Hiroshima,0,2
FC Tokyo,Kofu,4,1
Albirex Niigata,C-Osaka,1,0
Hiroshima,Omiya Ardija,3,1
Iwata,Urawa,1,2
Kawasaki Frontale,Shonan,1,2
Kofu,Vegalta Sendai,0,1
Sagan Tosu,Oita,3,2
Shimizu,FC Tokyo,0,0
Nagoya,Kashima,3,1
Yokohama M.,Kashiwa,1,1
Urawa,Hiroshima,3,1
Kashima,Omiya Ardija,1,0
Albirex Niigata,Shimizu,3,1
C-Osaka,Kofu,0,1
FC Tokyo,Oita,2,0
Iwata,Nagoya,2,3
Kashiwa,Sagan Tosu,2,1
Shonan,Yokohama M.,1,2
Vegalta Sendai,Kawasaki Frontale,2,1
Shimizu,Shonan,3,1
Kofu,Albirex Niigata,1,1
Hiroshima,Iwata,2,1
Kawasaki Frontale,FC Tokyo,2,2
Nagoya,Urawa,2,0
Oita,Kashiwa,0,0
Omiya Ardija,C-Osaka,0,3
Vegalta Sendai,Kashima,2,1
Yokohama M.,Sagan Tosu,2,1
Urawa,Oita,4,3
FC Tokyo,Yokohama M.,0,2
Kashima,Albirex Niigata,1,0
Kofu,Kawasaki Frontale,1,3
C-Osaka,Shimizu,4,1
Hiroshima,Nagoya,1,1
Kashiwa,Vegalta Sendai,0,0
Sagan Tosu,Omiya Ardija,2,1
Shonan,Iwata,1,1
Shimizu,Urawa,0,2
Albirex Niigata,Kawasaki Frontale,2,1
Iwata,FC Tokyo,0,0
Kashima,Yokohama M.,2,1
Nagoya,C-Osaka,1,1
Oita,Hiroshima,1,1
Omiya Ardija,Kashiwa,2,3
Sagan Tosu,Vegalta Sendai,1,0
Shonan,Kofu,1,2
Albirex Niigata,Iwata,4,2
FC Tokyo,Sagan Tosu,2,3
Kashiwa,Shonan,5,2
Kawasaki Frontale,Omiya Ardija,2,1
Kofu,Hiroshima,2,0
Nagoya,Oita,2,1
Shimizu,Kashima,4,3
Vegalta Sendai,C-Osaka,1,1
Yokohama M.,Urawa,3,0
Urawa,Albirex Niigata,1,0
Kashima,Kashiwa,3,1
C-Osaka,Kawasaki Frontale,0,0
Hiroshima,FC Tokyo,1,2
Iwata,Kofu,1,1
Oita,Shimizu,2,3
Omiya Ardija,Yokohama M.,1,0
Sagan Tosu,Nagoya,1,1
Shonan,Vegalta Sendai,3,2
Kashiwa,Iwata,1,3
Shimizu,Nagoya,2,1
FC Tokyo,Urawa,3,2
Kofu,Kashima,3,0
Albirex Niigata,Omiya Ardija,1,0
Kawasaki Frontale,Hiroshima,2,0
Sagan Tosu,Shonan,1,0
Vegalta Sendai,Oita,6,0
Yokohama M.,C-Osaka,1,1
Hiroshima,Albirex Niigata,2,0
Iwata,Kashima,2,3
Omiya Ardija,Vegalta Sendai,0,2
Urawa,Kofu,1,1
Kawasaki Frontale,Sagan Tosu,0,1
Nagoya,FC Tokyo,0,2
Oita,Shonan,1,2
Yokohama M.,Shimizu,1,0
C-Osaka,Kashiwa,1,1
Vegalta Sendai,Yokohama M.,0,0
Kashiwa,Albirex Niigata,1,1
Sagan Tosu,Hiroshima,0,2
Shimizu,Kofu,2,1
Kashima,Oita,3,1
Shonan,Urawa,2,2
C-Osaka,Iwata,2,0
Omiya Ardija,FC Tokyo,2,5
Nagoya,Kawasaki Frontale,1,2
Iwata,Vegalta Sendai,1,1
Albirex Niigata,Sagan Tosu,3,1
Hiroshima,Shimizu,3,1
Oita,C-Osaka,0,2
Shonan,Nagoya,1,1
Urawa,Omiya Ardija,4,0
FC Tokyo,Kashima,1,4
Kofu,Yokohama M.,0,0
Kawasaki Frontale,Kashiwa,3,1
Vegalta Sendai,Nagoya,2,1
Kashima,Urawa,1,2
Kashiwa,Kofu,2,0
Kawasaki Frontale,Iwata,2,1
Shimizu,Sagan Tosu,6,4
Yokohama M.,Hiroshima,1,0
Omiya Ardija,Oita,0,1
FC Tokyo,Albirex Niigata,2,0
C-Osaka,Shonan,2,1
Hiroshima,Vegalta Sendai,1,0
Albirex Niigata,Shonan,3,2
Kofu,FC Tokyo,1,1
Iwata,Shimizu,0,1
Kashima,Kawasaki Frontale,4,1
Nagoya,Omiya Ardija,2,1
Oita,Yokohama M.,0,1
Urawa,Kashiwa,2,1
Sagan Tosu,C-Osaka,2,0
FC Tokyo,C-Osaka,1,2
Kashiwa,Hiroshima,1,1
Shonan,Kashima,1,2
Yokohama M.,Nagoya,1,2
Oita,Albirex Niigata,1,3
Sagan Tosu,Iwata,1,0
Kawasaki Frontale,Shimizu,2,0
Omiya Ardija,Kofu,1,2
Vegalta Sendai,Urawa,3,3
C-Osaka,Hiroshima,1,0
Iwata,Yokohama M.,0,1
Kashima,Sagan Tosu,1,2
Shimizu,Omiya Ardija,1,0
Urawa,Kawasaki Frontale,1,3
Albirex Niigata,Vegalta Sendai,1,0
FC Tokyo,Shonan,2,1
Kofu,Oita,0,0
Nagoya,Kashiwa,3,2
C-Osaka,Kashima,1,2
Hiroshima,Shonan,1,0
Omiya Ardija,Iwata,3,0
Sagan Tosu,Urawa,4,1
Yokohama M.,Albirex Niigata,0,2
Kashiwa,FC Tokyo,4,1
Nagoya,Kofu,0,0
Oita,Kawasaki Frontale,0,1
Vegalta Sendai,Shimizu,1,2
Albirex Niigata,Nagoya,2,0
FC Tokyo,Vegalta Sendai,2,0
Iwata,Oita,3,1
Kashima,Hiroshima,0,2
Kawasaki Frontale,Yokohama M.,1,0
Kofu,Sagan Tosu,0,0
Shimizu,Kashiwa,1,2
Shonan,Omiya Ardija,0,1
Urawa,C-Osaka,2,5
C-Osaka,Hiroshima,0,1
Kofu,Kashima,0,4
Nagoya,Shimizu,2,3
Sagan Tosu,Tokushima,5,0
Vegalta Sendai,Albirex Niigata,1,2
Kashiwa,FC Tokyo,1,1
G-Osaka,Urawa,0,1
Yokohama M.,Omiya Ardija,2,0
Kawasaki Frontale,Kobe,2,2
Hiroshima,Kawasaki Frontale,2,1
Albirex Niigata,G-Osaka,0,2
Tokushima,C-Osaka,0,2
FC Tokyo,Kofu,1,1
Kobe,Kashiwa,1,1
Omiya Ardija,Nagoya,1,2
Shimizu,Yokohama M.,0,1
Urawa,Sagan Tosu,0,1
Kashima,Vegalta Sendai,2,0
Yokohama M.,Tokushima,3,0
Hiroshima,Urawa,0,2
Kofu,Albirex Niigata,1,1
C-Osaka,Shimizu,4,1
Kashiwa,Nagoya,0,1
Kawasaki Frontale,Omiya Ardija,3,4
Sagan Tosu,Kashima,0,3
Vegalta Sendai,G-Osaka,0,0
Kobe,FC Tokyo,2,1
Albirex Niigata,Sagan Tosu,1,0
Kofu,Yokohama M.,1,0
Tokushima,Kashiwa,0,2
Kashima,C-Osaka,0,2
Nagoya,Kobe,2,1
Omiya Ardija,Vegalta Sendai,4,0
Urawa,Shimizu,1,1
G-Osaka,Hiroshima,1,1
FC Tokyo,Kawasaki Frontale,0,4
Kawasaki Frontale,Nagoya,1,0
C-Osaka,Albirex Niigata,0,0
Hiroshima,Tokushima,3,1
Vegalta Sendai,Kofu,1,1
Yokohama M.,Kashima,1,3
Kashiwa,Omiya Ardija,2,2
Kobe,Urawa,3,1
Shimizu,FC Tokyo,1,3
Sagan Tosu,G-Osaka,2,0
Albirex Niigata,Yokohama M.,0,0
Nagoya,Hiroshima,2,5
Tokushima,Kawasaki Frontale,0,4
Kashiwa,C-Osaka,2,1
Kofu,Shimizu,0,1
Omiya Ardija,Kobe,0,3
FC Tokyo,Sagan Tosu,2,1
G-Osaka,Kashima,0,2
Urawa,Vegalta Sendai,4,0
Kawasaki Frontale,Kashiwa,1,1
C-Osaka,G-Osaka,2,2
Yokohama M.,Vegalta Sendai,0,2
Kashima,Albirex Niigata,1,2
Kobe,Tokushima,3,0
Nagoya,Urawa,1,2
Shimizu,Omiya Ardija,2,0
Sagan Tosu,Kofu,2,0
Hiroshima,FC Tokyo,1,0
Tokushima,Shimizu,0,4
Vegalta Sendai,Sagan Tosu,0,3
Kashima,Kobe,2,3
Kashiwa,Yokohama M.,0,0
FC Tokyo,C-Osaka,2,0
G-Osaka,Omiya Ardija,2,1
Urawa,Kawasaki Frontale,1,0
Kofu,Nagoya,2,0
Albirex Niigata,Hiroshima,0,0
Kashiwa,Urawa,3,2
